user_id,prediction
38,1360 2480 3233 3236 3382 3607 3656 3881 53 3338 557 3232 3245 666 2444 823 729 2309 2905 318 527 2019 50 745 2503
1985,989 1360 3233 3382 3607 3656 3881 53 3216 3245 557 2905 2503 2480 2019 318 3338 3517 50 260 2309 1471 745 2444 527
1392,3233 989 1360 3382 3607 3656 3881 53 1420 557 3245 2480 3338 2503 2197 2905 2019 3522 50 2309 745 1471 1148 1178 922
4626,3233 989 1360 3382 3607 3656 3881 2480 53 557 1420 3245 3338 2905 318 858 2503 2019 745 1198 2309 3216 3232 1148 1178
425,989 1360 2480 3233 3382 3607 3656 3881 557 53 1420 3338 3245 2905 2503 2019 745 527 2309 2197 3522 3216 260 1148 2358
216,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2480 2019 2197 666 2905 50 745 2309 1148 3517 1178 922
2857,3233 989 1360 3382 3607 3881 3656 557 3245 53 1420 3338 2905 3216 3517 1795 2503 50 2358 745 729 527 666 260 3232
3701,989 1360 3382 3607 3656 3881 3233 53 3245 557 3338 2197 2905 2309 2503 2019 318 858 1420 50 745 260 1148 1795 1178
548,989 1360 2480 3233 3382 3607 3656 3881 53 557 1420 3232 1795 2503 3245 3338 2905 2444 2019 318 50 1178 2309 2358 3216
889,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2019 2480 2905 3517 3216 2309 50 745 1795 1198 922 1148
3517,989 1360 3233 3382 3607 3881 53 1420 557 3245 3338 2197 2503 3522 318 2358 2905 50 858 1198 2019 2309 745 3232 527
5815,1360 2480 3233 3382 3607 3656 3881 989 53 1420 557 2503 3245 2197 1471 3522 3216 3338 2905 1795 858 1178 50 1148 922
591,989 1360 3233 3382 3607 3656 3881 53 557 1420 3245 3338 2503 2019 2905 745 1198 1178 2197 1795 1148 922 904 3522 3517
5595,989 1360 3233 3382 3607 3656 3881 53 557 3245 1420 3216 2905 3338 2503 3232 2019 1795 318 50 3517 2309 745 1148 527
2941,989 1360 3233 3382 3656 3881 3607 53 2480 557 1420 3245 3338 3216 2503 666 2019 2905 745 858 1198 50 318 1471 2309
4728,989 1360 3382 3607 3656 3881 3233 2480 557 53 1420 3245 3338 2905 2503 2019 2309 745 3216 1795 527 3232 3517 729 1148
4117,557 989 1360 2480 3233 3382 3607 3656 3881 53 3245 3216 1420 3232 2905 3338 1795 2503 858 3517 2019 729 745 2358 527
4153,989 1360 3216 3382 3607 3881 3233 3245 53 666 3232 3338 2905 318 50 2019 745 527 1198 1795 729 260 557 1148 858
5226,989 1360 3233 3382 3607 3656 3881 53 3216 557 3245 1420 3338 2905 2197 2309 2503 318 50 745 527 1148 1178 3232 922
4345,989 1360 3233 3382 3607 3656 3881 53 2480 1420 3338 557 666 3245 2309 2503 2019 858 2905 745 318 527 1198 1148 2197
3539,989 1360 3382 3607 3656 3881 3233 557 53 3338 3245 1420 2905 2503 2019 2309 745 1795 3517 729 527 3232 666 3216 2480
500,989 1360 3233 3382 3607 3656 3881 53 3245 3338 1420 557 2503 2019 2905 1795 2309 858 1148 3232 1198 3022 1178 3522 578
3882,989 1360 3233 3382 3607 3656 3881 557 1420 2198 3236 729 53 3338 3245 572 858 2905 318 2019 1795 527 3517 745 1178
2738,989 1360 3233 3236 3382 3607 3881 729 3338 1420 53 3245 2905 823 318 858 1795 2019 2198 3232 3517 50 745 2503 1178
3518,989 1360 3382 3607 3656 3881 3233 53 557 3338 2480 1420 3245 2905 2309 2503 2019 858 745 527 666 2444 3232 1795 1148
2947,3607 989 1360 2480 3233 3382 3656 3881 1420 53 557 3338 572 2503 2309 858 2905 3245 3232 2019 318 50 745 1795 1178
4502,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 2503 3245 2019 2197 2905 2309 50 745 1198 1795 922 1148 1178 2358
156,989 1360 3382 3607 3656 3881 3233 53 2480 3338 3245 2905 318 557 2019 50 858 666 745 2503 729 1471 3232 3022 1198
4675,989 1360 2480 3233 3382 3607 3656 3881 53 557 3245 1420 3338 2905 2503 2309 3232 2019 318 745 527 1198 3216 1148 1795
673,989 1360 3233 3382 3607 3656 3881 1420 557 53 3338 3245 729 1795 2503 2905 2019 2309 3517 2480 3232 50 745 1178 922
5136,989 1360 3233 3382 3607 3656 3881 557 53 3245 3216 3338 2905 2503 2019 1420 50 858 729 745 527 260 1148 666 3517
5335,989 1360 3382 3607 3656 3881 3233 53 1420 557 2480 3338 3216 2503 2905 2019 3245 2309 318 50 527 745 2197 3232 1178
2747,989 1360 3233 3382 3607 3656 3881 53 1420 557 2480 3338 2309 3245 2503 2905 2019 3522 858 745 50 527 3232 2197 1198
5054,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2019 2309 2905 527 2480 3517 2197 1178 3216 666 1212 1795
1624,989 1360 3233 3607 3656 3881 3382 53 557 3245 1420 3216 3338 3232 2905 2503 2480 3517 2444 1198 318 1795 858 2309 745
1285,3881 989 1360 3233 3382 3607 3656 53 557 1420 3338 3245 2503 2905 2309 318 3517 2480 922 1795 3232 904 3216 2358 1212
3648,3233 989 1360 3382 3607 3656 3881 557 53 3245 2480 3338 1420 2905 3216 318 858 2019 2444 745 2503 1795 527 2358 729
1333,1360 989 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 858 2019 2905 318 745 2197 3517 3216 1178 1795 1148 922
2599,989 1360 2480 3233 3382 3607 3656 3881 557 53 3245 1420 3216 2503 2905 3338 2019 2197 2309 1795 50 3517 527 578 2444
1996,989 1360 3233 3382 3607 3656 3881 53 557 1420 3245 2480 3338 2503 2197 2905 2019 50 3522 745 527 3232 1795 1148 1178
3290,989 1360 2480 3233 3382 3607 3881 557 1420 53 3245 3232 572 3338 2905 1795 2503 2309 858 318 578 50 2019 2198 2358
3313,989 1360 3233 3382 3607 3656 3881 53 1420 557 3245 3338 2503 2480 2905 2309 2019 3216 318 858 1795 2197 1178 3517 922
1112,3656 989 1360 3233 3382 3607 3881 53 557 1420 3245 2480 3338 2905 318 2019 2503 858 1795 2309 1178 3232 3517 3216 922
4647,3233 989 1360 3382 3607 3656 3881 557 53 1420 3338 3245 2503 2905 3517 2309 745 1178 922 1148 1795 912 2480 260 666
1943,989 1360 3233 3382 3607 3881 3656 557 53 1420 3338 3245 2503 2905 858 2019 2309 745 1795 3232 2480 527 3517 1178 578
1130,989 1360 3233 3382 3607 3656 3881 53 557 1420 2480 3338 3245 2503 2905 2019 50 2197 745 2309 3232 1178 3517 1148 922
5269,989 1360 3233 3382 3607 3656 3881 557 53 1420 3338 2503 3245 2905 1795 2019 2309 318 2480 745 3517 1178 527 3232 1148
2885,989 1360 2480 3233 3382 3607 3656 53 557 2444 3338 3245 1420 3232 2503 2309 2905 318 2197 858 2019 745 527 578 1198
3163,3233 989 1360 3382 3607 3656 3881 53 1420 557 3245 3338 2480 2503 2905 2309 858 318 3216 1795 1198 3517 1178 922 666
4497,989 1360 3382 3607 3656 3881 3233 53 557 1420 2503 3245 3338 2197 2019 2905 1795 3216 3517 2309 318 745 2358 527 1148
3299,989 1360 3233 3382 3607 3656 3881 557 53 1420 3338 2480 2309 3245 2503 2905 2019 318 3216 1795 745 1148 1178 3232 1198
3677,989 1360 3233 3382 3607 3656 3881 53 3245 729 3338 1420 2905 557 2358 318 666 3216 1795 2931 858 2198 2019 3232 1198
1181,989 1360 3382 3607 3656 3881 3233 53 557 1420 3338 3245 2503 3517 318 1795 2480 2309 3232 3216 666 1212 2358 750 729
991,989 1360 3233 3607 3656 3881 3382 53 666 1420 3338 2197 2503 3245 2019 557 745 527 858 922 2905 1148 318 1207 2309
10,989 1360 3233 3382 3607 3656 3881 53 2480 1420 557 3245 3338 2503 666 2905 2019 3216 2197 50 260 2309 1795 3517 922
4729,1360 989 3233 3382 3607 3656 3881 53 3338 557 3245 2480 1420 2905 3232 858 527 2019 729 2503 745 1148 2309 1178 260
5990,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 2197 2480 2309 2503 858 2019 3522 745 2905 50 3245 527 922 318
4521,989 1360 3233 3382 3607 3656 3881 53 557 3245 1420 3338 2503 2905 1795 2019 3216 318 745 2480 1178 1148 3517 2309 720
2173,3607 989 1360 3233 3382 3656 3881 53 557 3338 1420 3245 2503 2019 2905 318 50 745 2480 3517 3216 922 1178 2309 2358
1367,3233 989 1360 2480 3382 3607 3656 3881 53 557 3245 3338 3216 1420 2309 2503 2905 2019 3522 858 50 745 2197 3232 527
4510,3233 989 1360 3382 3607 3656 3881 53 557 1420 3245 3338 666 2503 2019 2905 3517 1795 3216 745 2309 2197 2480 1148 1178
839,3233 989 1360 3382 3607 3881 3656 53 557 1420 2480 3338 3245 2503 858 2309 1795 745 527 3517 3216 1148 3232 729 720
3610,3233 989 1360 3382 3607 3656 3881 53 557 3245 1420 3338 2503 2905 3216 2444 2197 666 1795 3517 745 2309 2358 3232 527
4959,989 1360 3233 3607 3656 3881 53 1420 3245 557 3338 3216 2503 2905 1795 2019 858 50 745 3517 1178 922 2309 904 720
4811,1360 3233 3382 3607 3656 53 1420 130 557 2503 1795 1787 2309 3232 858 3338 3245 2019 2197 1471 912 2905 1002 3522 922
355,989 1360 2480 3233 3382 3607 3656 3881 53 557 3245 1420 3338 2905 3216 3232 2309 1795 2503 50 2019 858 2444 745 1198
3705,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 858 2019 2905 318 745 527 2309 2480 3517 922 1148 666
3013,989 1360 3233 3382 3607 3656 3881 53 3338 557 1420 3245 666 2444 2503 2905 745 318 858 527 2197 50 2309 3517 260
656,989 1360 3233 3382 3607 3656 3881 53 557 2197 1420 1471 3338 2503 3245 2019 3522 2480 2905 1795 50 318 1178 1212 1207
3726,989 1360 3233 3382 3607 3656 3881 53 557 2480 3245 3338 1420 3216 2905 318 2019 2444 2503 3232 50 1795 858 2309 527
3475,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2905 2480 2309 745 1148 922 1795 3517 3232 1212 2197 3022
4411,989 1360 3382 3607 3656 3881 3233 53 1420 557 3245 3338 2480 2503 2905 2019 745 2309 3216 1795 3517 922 1178 3232 3022
4122,989 1360 3233 3382 3607 3656 3881 557 53 2480 1420 3245 3338 2503 2905 2019 2309 318 745 3232 1198 1795 1178 1148 260
593,989 1360 3233 3382 3607 3656 3881 2198 53 1420 3236 729 3338 557 3245 2480 823 2905 3232 1795 2309 858 318 2019 3517
4508,989 1360 3233 3382 3607 3656 3881 557 53 2480 1420 3245 3338 2503 2019 858 3517 1795 2309 3216 318 527 3232 1178 1148
2794,989 1360 3233 3382 3607 3656 3881 557 53 1420 3338 2503 3245 2905 2480 2019 858 2197 318 527 745 1198 2309 1178 3517
5712,989 1360 3233 3607 3656 3881 53 1420 557 3216 3245 2197 2905 3338 2503 2019 1198 318 858 50 2444 745 527 1148 3517
4808,989 1360 3382 3607 3656 3881 3233 53 557 2480 3245 1420 3338 666 3216 2905 2503 1795 50 1198 745 858 3517 527 2358
4062,989 1360 3233 3382 3607 3656 3881 557 3245 53 1420 2480 3232 3338 2905 729 2198 1795 858 2019 527 745 2358 2503 1198
3669,989 1360 3233 3382 3607 3656 3881 53 557 3245 3338 2905 2503 3216 3232 1420 2019 745 2358 1795 2480 2309 2197 3517 1178
3589,989 1360 3233 3382 3607 3656 3881 53 557 3245 3338 1420 3216 2905 2480 318 2503 50 3517 2444 745 527 2197 1148 1795
376,3233 989 1360 3382 3607 3656 3881 53 2480 557 3245 3232 3338 1420 2905 1795 2019 2503 2358 745 527 2197 1148 578 3216
4291,989 1360 2480 3233 3382 3607 3656 3881 557 53 3216 3245 2905 2503 3338 1420 318 2197 2309 50 745 3517 2931 1795 527
461,989 1360 2480 3233 3607 3656 3881 53 557 3245 3338 3216 1420 2503 2905 2019 2197 3517 50 745 1795 2309 1148 666 922
1697,3233 989 1360 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2905 2019 858 745 2480 2197 2309 1148 666 1795 1178 922
566,989 1360 3233 3382 3607 3656 3881 53 557 3245 1420 2480 3338 2503 2197 2905 3216 2019 318 858 745 666 2309 527 1795
3524,989 1360 3233 3656 3881 3607 53 557 3232 1420 3245 3338 2198 2905 2503 858 2019 2309 745 1795 922 1198 3517 1178 1148
2023,989 1360 3233 3656 3881 3607 2480 53 557 1420 3245 3338 2905 2503 2309 2019 1795 1198 3522 1178 260 3216 578 2197 3232
549,989 1360 3233 3382 3607 3656 3881 557 53 1420 3245 3338 2503 2905 2019 2309 666 3517 1795 3216 1148 1178 922 3232 2358
5880,3233 989 3382 3607 3656 3881 1360 53 557 2480 1420 3245 3338 2503 2905 2309 50 318 1795 3216 3517 1178 3232 260 1212
719,2858 480 2028 318 1210 2571 1196 3578 1198 648 1265 1580 3793 1617 2396 2916 2762 527 260 356 110 593 589 2355 2628
3393,1360 3233 3382 3607 3656 3881 989 53 1420 557 2197 3245 2503 3338 3216 1471 2905 50 318 745 527 1795 260 1148 1178
5493,989 1360 3233 3382 3607 3656 3881 557 53 1420 3338 3245 2480 2905 2503 2019 50 745 527 2309 1795 1178 3232 1148 3517
5333,3881 989 1360 3233 3382 3607 3656 557 53 3338 3245 1420 2905 729 318 666 2019 3232 858 745 2503 1198 3517 2444 2309
4305,989 1360 3233 3382 3607 3656 3881 557 53 3245 2480 3338 1420 2905 3216 1795 2503 2019 858 3232 3517 2358 745 527 2309
1988,989 1360 3233 3382 3607 3656 3881 53 557 3338 1420 2480 3245 2503 2019 2905 2309 318 1795 922 1198 1178 3517 3022 1212
5026,989 1360 3233 3607 3656 3382 3881 53 557 1420 3245 3338 3216 2503 2905 2019 318 666 2197 527 745 2309 1471 3517 1148
4822,2858 480 2028 318 1210 2571 1196 3578 1198 648 1265 1580 3793 1617 2396 2916 2762 527 260 356 110 593 589 2355 2628
4816,989 1360 3233 3382 3607 3656 3881 557 53 3245 1420 2480 3338 729 2905 2019 527 3216 3232 745 1795 3517 2503 1198 2358
3780,989 1360 2480 3233 3382 3656 3881 3607 53 1420 557 3245 3338 2309 2503 2905 3216 2019 2197 858 745 1198 260 1148 1795
3649,3233 1360 3607 3656 3881 53 3216 2197 3338 2503 3245 1420 858 2905 2019 318 527 2309 50 1198 3522 745 1148 922 260
5755,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2905 666 50 527 3517 745 2309 3216 1148 1178 1795 922
1803,989 1360 3233 3382 3607 3881 53 3245 2480 3338 3216 557 2905 3232 1420 1795 318 729 50 858 2019 2444 2503 1198 745
3626,989 1360 3233 3382 3607 3881 3656 53 557 3245 2480 3338 1420 2905 2503 3216 858 50 1198 1795 2358 2444 3232 3517 666
2073,3656 989 1360 3233 3382 3607 3881 53 1420 3338 557 2480 3245 2503 2019 2905 2309 527 745 666 1148 922 1795 904 3517
3709,989 1360 2480 3233 3382 3607 3656 3881 53 3245 3338 557 729 2905 3232 1420 2503 858 1795 50 2019 3216 2198 745 2358
2869,989 1360 3233 3607 3656 3881 53 3216 3245 1420 2503 1471 2444 2197 3338 2931 2019 2905 858 1198 557 745 1795 3517 50
678,989 1360 3233 3382 3607 3656 3881 53 557 3245 3338 1420 2444 2905 2503 2019 666 3216 2480 2309 745 1795 1198 3517 3232
3378,3233 989 1360 3382 3607 3656 3881 53 3245 3338 557 2905 2503 1420 2197 2019 2309 2444 50 3216 745 527 1795 260 1148
4837,989 1360 3233 3607 3656 3881 557 53 666 3245 3338 1420 2197 2503 2309 2444 2358 2905 1795 318 858 3216 2019 50 1198
1811,557 989 1360 3233 3382 3607 3881 53 2444 2197 3216 1420 2905 3232 3338 3245 2480 2503 2019 1795 50 318 745 527 1148
3253,989 3656 1360 3233 3382 3607 3881 53 1420 2480 557 3338 2309 2503 858 2019 2905 50 745 572 922 1148 904 3232 1178
5172,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 2019 2905 745 527 2309 1178 922 3232 3517 3022 1212 720
1489,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 2503 3245 2480 2019 858 745 318 527 1198 2197 1795 2309 922 1178
5947,989 1360 3233 3382 3607 3656 3881 53 557 1420 2503 1471 3245 3216 1795 2309 2197 2019 3338 2905 858 1198 3517 50 2444
3002,3382 989 1360 3233 3607 3656 3881 53 1420 557 2480 2309 2503 3338 2197 3245 2905 858 3522 50 318 3232 1471 527 904
1503,3233 1360 3607 3881 989 3656 53 557 1420 3245 3338 2503 2197 2905 2019 318 3216 745 3522 1148 1178 2309 3232 922 1795
4083,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 3216 2197 2905 1471 318 745 527 2309 3517 666 2480 1148
868,989 557 572 666 1360 1471 3233 3382 3607 3881 1420 53 2444 3245 1795 3338 2358 2503 1886 2197 858 2019 2905 1198 3517
5972,989 1360 3382 3607 3656 3881 3233 53 557 1420 3338 2480 3245 2503 2197 2905 858 2019 2444 2309 745 3232 3216 1148 1795
4021,989 1360 3233 3382 3607 3656 3881 53 557 1420 3245 3338 2197 1471 2503 3216 666 2905 3517 318 50 527 2309 1795 1178
3847,989 1360 3233 3382 3607 3656 3881 557 53 3245 1420 2480 3338 2905 2503 3232 858 2019 1795 745 3216 527 2358 3517 1148
1680,989 1360 3233 3382 3607 3656 3881 557 53 3338 1420 3245 666 2503 3517 2905 2309 3232 318 1795 3216 1198 2358 1178 729
2241,3233 989 1360 3607 3656 3881 53 666 1420 2197 1471 2503 557 3338 2309 2019 3216 858 572 3245 1148 527 745 1198 1207
3201,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 3245 2503 2197 2019 666 2905 50 318 2309 745 527 1198 3517 3216
4801,3233 989 1360 3382 3607 3656 3881 3245 53 3216 557 3338 729 2905 318 2503 2019 1420 2358 1198 858 50 3517 1795 745
1121,989 1360 3382 3607 3656 3881 3233 53 3338 557 2480 3232 3245 2905 1420 318 2019 2503 527 745 1148 1178 2198 2309 904
4076,989 1360 2480 3233 3236 3607 3881 2198 3245 53 729 3338 2905 2358 3517 50 858 1795 2019 745 666 1198 3022 1148 922
5786,989 1360 3233 3382 3607 3656 3881 53 557 3338 1420 3245 2503 2905 2197 50 745 527 2309 1178 1148 904 922 2358 1212
432,557 1360 2480 3233 3881 666 53 3338 3245 729 318 527 2905 745 50 2019 2309 858 1198 1148 2503 922 1741 823 2197
366,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 2197 3245 2503 2905 3216 1471 50 318 745 2309 1148 3522 3517 1178
4388,989 1360 3233 3382 3607 3656 3881 557 53 3245 2480 3338 1420 666 2905 3216 2019 50 729 858 527 1198 745 2503 3517
4782,989 1360 3233 3382 3607 3656 3881 53 1420 3245 2503 1795 2309 3338 2019 557 2905 745 3216 50 922 3517 1178 1198 1148
4079,3382 989 1360 3233 3607 3656 3881 53 557 3338 3245 1420 2503 2197 2019 2905 2309 50 2480 666 3517 3216 1178 3022 1212
4879,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 2503 3245 2309 2197 2905 3216 318 1198 922 1178 1471 3517 1795 3022
4957,989 1360 3233 3382 3656 3607 3881 53 557 3338 3245 1420 2503 2905 2019 2309 666 745 3216 3517 1148 1795 1178 922 904
3590,989 1360 3233 3382 3607 3656 3881 53 557 3245 3338 2480 1420 2905 2503 2309 2019 3232 1795 1178 3517 922 2358 578 3022
798,3233 3656 989 1360 3382 3607 3881 53 557 3245 3338 3216 1795 2503 2905 1420 666 2019 2309 745 2197 527 50 1198 260
696,989 3233 3382 3607 3656 3881 1360 53 557 1420 3245 3338 2503 2905 2019 2309 3216 1795 1178 3517 922 2197 3232 3522 750
5684,3656 989 1360 2480 3233 3382 3881 3607 557 53 1420 3245 3338 2503 2905 2309 318 745 1198 2197 527 3517 1795 1178 922
1586,989 1360 3233 3382 3607 3656 3881 53 557 1420 2480 2197 3338 3245 2503 2905 1471 2309 318 527 3216 922 3517 1178 3522
6011,3233 989 1360 3382 3607 3656 3881 53 3245 557 3338 3216 2503 2905 1420 2019 3522 50 745 527 2197 666 1148 2931 3517
5689,989 1360 3233 3382 3656 3881 3607 53 3245 3338 1420 557 2905 2503 2019 2480 3232 1795 2309 2197 1148 3517 3216 1178 2358
2557,1360 3233 3607 3881 53 2198 1420 3245 3338 1795 2905 729 858 2503 3232 318 823 2019 2309 745 1148 1178 922 904 1212
2304,989 1360 3233 3382 3607 3656 3881 53 557 1420 2480 3245 3338 3216 2905 2503 2019 3517 50 745 527 3232 1795 2309 2358
2820,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 2503 3245 2309 2019 2905 3517 1795 50 318 745 3232 1178 922 3216
103,989 1360 3233 3382 3607 3656 3881 666 3216 3245 729 1471 53 1420 557 3338 2905 3517 318 3232 1198 1795 50 2019 2503
1470,989 1360 3233 3382 3607 3656 3881 557 53 3245 3338 2444 2905 3517 3216 1795 318 2019 729 2503 1420 50 3232 745 2358
445,989 1360 3382 3607 3656 3881 3233 53 557 2480 3245 1420 3216 1795 2905 2019 2503 2444 3338 318 50 3232 3517 1198 745
2853,989 1360 3233 3236 3382 3607 3656 3881 557 53 1420 3338 3245 2309 2503 130 858 318 2905 2019 3522 50 572 527 1471
727,1360 3233 3382 3607 3656 3881 989 53 3338 557 1420 2480 3245 2503 2019 2905 745 1148 1198 2197 904 3022 1178 922 912
1517,130 989 1360 3233 3382 3607 3656 3881 1420 53 557 3338 3245 2309 3232 2905 858 2503 2198 1795 2019 3236 527 745 1178
4447,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 3245 2503 3216 3517 1471 2905 2309 666 50 2197 1795 527 1148 260
4897,989 1360 3233 3607 3656 3881 53 557 1420 3245 3338 3216 2197 2503 2905 2019 3517 2309 50 745 2358 527 1471 1795 2444
148,989 1360 3233 3382 3607 3656 3881 53 3245 3216 557 3338 1420 2480 2905 666 2503 3517 1795 745 2197 1148 2358 729 1178
570,989 1360 2480 3233 3382 3607 3656 3881 3245 53 557 3338 729 3216 2905 2444 3232 318 1795 50 2019 745 578 1420 3517
1714,989 1360 2480 3233 3382 3607 3656 3881 53 557 1420 3245 3216 3338 2905 2503 2019 318 2309 50 2197 858 666 527 3517
5621,989 1360 3382 3607 3656 3881 3233 53 557 2480 1420 3338 3245 2503 2905 2019 2309 745 527 1795 3232 1178 3517 1148 3216
2457,3233 3656 989 1360 3382 3607 3881 53 2480 557 1420 3245 3338 2503 3216 2905 2197 2019 318 2309 745 527 3517 2358 1795
2570,989 1360 3233 3607 3881 53 3245 1420 3338 729 2905 318 2309 50 3232 2019 2503 858 2198 745 1148 1198 1795 922 557
4815,989 1360 3233 3382 3607 3656 3881 53 557 1420 2503 3338 3216 2309 3245 2019 858 2905 2197 2444 2480 745 318 527 1795
4878,572 989 1360 1420 3233 3382 3607 3656 3881 53 3338 666 2197 3245 1471 318 2905 3232 2503 858 2019 527 50 745 1148
2125,3233 989 1360 3382 3607 3656 3881 53 557 3245 3216 3338 2444 2503 2905 1420 2019 1795 318 50 527 2480 2197 2309 3517
5759,989 1360 3233 3382 3607 3656 3881 53 557 1420 3245 3338 2503 2905 2019 318 2309 3517 3232 3216 1178 1795 922 904 729
5387,3656 989 1360 3233 3382 3607 3881 53 1420 557 3338 3245 666 2503 2019 2905 2309 858 3216 745 318 1795 1198 3517 1148
3512,989 1360 3382 3607 3656 3881 3233 53 2480 557 3245 1420 3338 2503 2905 3216 2019 1795 858 745 1198 527 666 1148 3517
3080,989 1360 3382 3607 3656 3881 3233 53 1420 557 3338 2503 2309 3245 2019 2905 527 1178 1148 922 1795 750 3522 1212 912
4319,572 989 1420 3233 3607 3656 3881 1360 53 3338 2197 2905 2358 3245 2503 318 2019 858 50 3232 527 745 2309 1198 578
1377,989 1360 2480 3233 3382 3607 3656 3881 557 3216 53 3245 666 3338 2905 1420 318 2503 50 2019 2358 3517 2444 745 527
5659,3607 989 1360 3233 3881 3216 3245 2480 53 666 557 2905 3338 3232 318 1420 50 2019 729 745 1795 858 2444 2309 527
2986,989 1360 3233 3382 3607 3656 3881 557 53 3245 3338 2480 1420 2905 3232 2019 729 2503 2309 745 3517 3216 1795 1148 1178
412,3881 989 3233 3382 3607 3656 1360 53 1420 3338 557 3245 2503 2905 2197 3216 527 745 1148 666 922 2309 2480 3517 3232
518,3233 989 1360 3382 3607 3656 3881 53 3338 1420 557 3245 2503 2905 858 3232 2480 50 745 3216 2309 1795 1148 922 1178
4682,1360 3233 989 3382 3607 3656 3881 557 53 1420 3338 3245 2480 2905 2503 3216 3517 318 2309 1795 1178 922 720 3022 1212
4969,3607 557 989 1360 3233 3382 3656 3881 53 2197 2480 1420 2503 3245 3338 578 1795 3216 2019 3522 2905 1471 50 2192 2309
2764,989 1360 3233 3382 3607 3656 3881 53 1420 557 3338 2503 3245 2019 2905 2309 50 745 318 2197 1198 922 1795 1178 904
3143,989 1360 2480 3233 3382 3607 3656 3881 53 557 3338 3245 1420 2503 3232 2905 2019 2309 50 922 1795 1198 1178 904 3022
793,989 1360 3233 3382 3607 3656 3881 53 3338 557 3245 1420 2503 2197 2019 2905 527 50 745 3216 666 1198 3522 1148 1795
5031,989 1360 3233 3382 3607 3881 53 3338 3245 557 1420 2309 2905 2019 858 318 50 745 3232 2503 823 1148 578 922 3022
1758,989 1360 3382 3607 3656 3881 3233 557 53 1420 3338 3245 2503 2309 858 2905 2019 318 729 745 1795 527 3517 1178 1148
5747,989 1360 3233 3607 3656 3881 3382 53 557 3245 3338 1420 2503 318 745 527 3517 2480 729 1148 1795 2309 1178 922 3232
777,989 1360 3233 3607 3656 3881 3382 53 3245 557 3338 3216 2905 318 2444 1420 666 729 2503 2019 50 745 1795 2480 858
